day,eth_spot_price,eth_mark_price,spread_bps,daily_funding_rate_bps,edge_score_bps,is_hedge_open,position_notional,posted_margin,entry_price,lending_income_daily,funding_income_daily,short_price_pnl_daily,costs_daily,cumulative_lending,cumulative_funding,cumulative_price_pnl,cumulative_costs,net_pnl_daily,cumulative_net_pnl,equity,margin_ratio_bps,health_factor,annualized_return_bps
0,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,0.0,0.0,50.0,0.0,0.0,0.0,50.0,-36.3014,-50.0,99950.0,2000.0,4.0,-1825.0
1,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,13.6986,50.0,0.0,50.0,63.6986,13.6986,100013.6986,2005.0,4.01,500.0
2,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,27.3973,100.0,0.0,50.0,63.6986,77.3973,100077.3973,2010.0,4.02,1412.5
3,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,41.0959,150.0,0.0,50.0,63.6986,141.0959,100141.0959,2015.0,4.03,1716.67
4,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,54.7945,200.0,0.0,50.0,63.6986,204.7945,100204.7945,2020.0,4.04,1868.75
5,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,68.4932,250.0,0.0,50.0,63.6986,268.4932,100268.4932,2025.0,4.05,1960.0
6,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,82.1918,300.0,0.0,50.0,63.6986,332.1918,100332.1918,2030.0,4.06,2020.83
7,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,95.8904,350.0,0.0,50.0,63.6986,395.8904,100395.8904,2035.0,4.07,2064.29
8,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,109.589,400.0,0.0,50.0,63.6986,459.589,100459.589,2040.0,4.08,2096.88
9,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,123.2877,450.0,0.0,50.0,63.6986,523.2877,100523.2877,2045.0,4.09,2122.22
10,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,136.9863,500.0,0.0,50.0,63.6986,586.9863,100586.9863,2050.0,4.1,2142.5
11,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,150.6849,550.0,0.0,50.0,63.6986,650.6849,100650.6849,2055.0,4.11,2159.09
12,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,164.3836,600.0,0.0,50.0,63.6986,714.3836,100714.3836,2060.0,4.12,2172.92
13,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,178.0822,650.0,0.0,50.0,63.6986,778.0822,100778.0822,2065.0,4.13,2184.62
14,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,191.7808,700.0,0.0,50.0,63.6986,841.7808,100841.7808,2070.0,4.14,2194.64
15,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,205.4795,750.0,0.0,50.0,63.6986,905.4795,100905.4795,2075.0,4.15,2203.33
16,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,219.1781,800.0,0.0,50.0,63.6986,969.1781,100969.1781,2080.0,4.16,2210.94
17,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,232.8767,850.0,0.0,50.0,63.6986,1032.8767,101032.8767,2085.0,4.17,2217.65
18,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,246.5753,900.0,0.0,50.0,63.6986,1096.5753,101096.5753,2090.0,4.18,2223.61
19,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,260.274,950.0,0.0,50.0,63.6986,1160.274,101160.274,2095.0,4.19,2228.95
20,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,273.9726,1000.0,0.0,50.0,63.6986,1223.9726,101223.9726,2100.0,4.2,2233.75
21,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,287.6712,1050.0,0.0,50.0,63.6986,1287.6712,101287.6712,2105.0,4.21,2238.1
22,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,301.3699,1100.0,0.0,50.0,63.6986,1351.3699,101351.3699,2110.0,4.22,2242.05
23,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,315.0685,1150.0,0.0,50.0,63.6986,1415.0685,101415.0685,2115.0,4.23,2245.65
24,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,328.7671,1200.0,0.0,50.0,63.6986,1478.7671,101478.7671,2120.0,4.24,2248.96
25,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,342.4658,1250.0,0.0,50.0,63.6986,1542.4658,101542.4658,2125.0,4.25,2252.0
26,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,356.1644,1300.0,0.0,50.0,63.6986,1606.1644,101606.1644,2130.0,4.26,2254.81
27,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,369.863,1350.0,0.0,50.0,63.6986,1669.863,101669.863,2135.0,4.27,2257.41
28,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,383.5616,1400.0,0.0,50.0,63.6986,1733.5616,101733.5616,2140.0,4.28,2259.82
29,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,397.2603,1450.0,0.0,50.0,63.6986,1797.2603,101797.2603,2145.0,4.29,2262.07
30,2000.0,2003.0,15.0,5.0,2320.0,True,100000.0,20000.0,2000.0,13.6986,50.0,0.0,0.0,410.9589,1500.0,0.0,50.0,63.6986,1860.9589,101860.9589,2150.0,4.3,2264.17
